Distance_(unit),Gray_Value
2.0124,2.700
2.0139,2.600
2.0155,3.167
2.0171,3.900
2.0186,3.500
2.0202,3.133
2.0218,3.300
2.0233,3.700
2.0249,3.200
2.0264,3.367
2.0280,3.633
2.0296,4.100
2.0311,5.400
2.0327,6.500
2.0343,6.333
2.0358,5.900
2.0374,5.267
2.0389,5.233
2.0405,5.167
2.0421,5.000
2.0436,5.167
2.0452,5.500
2.0468,5.667
2.0483,5.933
2.0499,5.400
2.0514,4.500
2.0530,3.867
2.0546,4.067
2.0561,4.067
2.0577,3.900
2.0593,3.867
2.0608,3.533
2.0624,3.333
2.0639,3.600
2.0655,4.067
2.0671,4.233
2.0686,4.233
2.0702,3.800
2.0718,3.800
2.0733,3.633
2.0749,3.500
2.0764,3.500
2.0780,3.467
2.0796,3.533
2.0811,3.533
2.0827,3.600
2.0843,3.533
2.0858,3.600
2.0874,4.133
2.0889,3.967
2.0905,3.567
2.0921,3.567
2.0936,3.833
2.0952,4.000
2.0967,3.933
2.0983,3.967
2.0999,3.600
2.1014,3.567
2.1030,4.167
2.1046,4.033
2.1061,3.567
2.1077,3.200
2.1092,3.133
2.1108,3.367
2.1124,3.500
2.1139,3.567
2.1155,3.600
2.1171,4.000
2.1186,4.567
2.1202,5.067
2.1217,5.067
2.1233,4.467
2.1249,4.167
2.1264,3.900
2.1280,3.600
2.1296,3.467
2.1311,3.633
2.1327,3.900
2.1342,4.200
2.1358,4.667
2.1374,4.633
2.1389,5.000
2.1405,4.700
2.1421,4.500
2.1436,4.900
2.1452,5.267
2.1467,5.633
2.1483,5.867
2.1499,5.767
2.1514,5.667
2.1530,6.667
2.1546,7.167
2.1561,7.067
2.1577,6.567
2.1592,5.867
2.1608,5.100
2.1624,4.867
2.1639,4.500
2.1655,4.600
2.1671,4.900
2.1686,5.333
2.1702,5.900
2.1717,6.300
2.1733,6.267
2.1749,5.400
2.1764,4.667
2.1780,4.433
2.1796,4.533
2.1811,4.467
2.1827,4.467
2.1842,4.700
2.1858,4.733
2.1874,4.367
2.1889,4.533
2.1905,4.700
2.1921,5.600
2.1936,5.767
2.1952,5.467
2.1967,5.333
2.1983,4.600
2.1999,4.100
2.2014,4.100
2.2030,4.467
2.2046,4.433
2.2061,4.233
2.2077,3.967
2.2092,4.233
2.2108,4.300
2.2124,4.867
2.2139,5.400
2.2155,5.400
2.2171,5.700
2.2186,5.433
2.2202,5.500
2.2217,6.200
2.2233,6.533
2.2249,6.133
2.2264,5.933
2.2280,6.033
2.2296,6.433
2.2311,6.967
2.2327,6.967
2.2342,7.133
2.2358,7.400
2.2374,7.533
2.2389,6.967
2.2405,7.000
2.2421,7.033
2.2436,6.100
2.2452,5.200
2.2467,5.000
2.2483,4.967
2.2499,4.800
2.2514,4.967
2.2530,5.500
2.2546,6.367
2.2561,6.867
2.2577,6.867
2.2592,6.333
2.2608,6.000
2.2624,5.800
2.2639,5.800
2.2655,5.767
2.2671,6.333
2.2686,7.067
2.2702,8.067
2.2717,8.667
2.2733,8.867
2.2749,8.767
2.2764,8.000
2.2780,7.633
2.2796,6.733
2.2811,6.400
2.2827,5.967
2.2842,6.033
2.2858,6.433
2.2874,6.567
2.2889,6.367
2.2905,6.467
2.2921,6.767
2.2936,6.467
2.2952,6.167
2.2967,6.567
2.2983,6.833
2.2999,6.433
2.3014,6.933
2.3030,7.733
2.3045,8.767
2.3061,8.500
2.3077,8.200
2.3092,8.033
2.3108,7.400
2.3124,6.767
2.3139,6.367
2.3155,6.700
2.3170,6.767
2.3186,6.867
2.3202,6.933
2.3217,7.133
2.3233,7.400
2.3249,7.833
2.3264,8.367
2.3280,8.267
2.3295,8.033
2.3311,7.933
2.3327,7.767
2.3342,7.733
2.3358,7.633
2.3374,7.667
2.3389,8.133
2.3405,7.900
2.3420,7.767
2.3436,7.533
2.3452,7.367
2.3467,7.033
2.3483,7.000
2.3499,7.067
2.3514,7.467
2.3530,8.100
2.3545,8.467
2.3561,8.267
2.3577,8.233
2.3592,7.900
2.3608,7.633
2.3624,7.600
2.3639,7.733
2.3655,7.633
2.3670,7.533
2.3686,7.600
2.3702,7.800
2.3717,7.867
2.3733,7.900
2.3749,7.967
2.3764,8.700
2.3780,8.167
2.3795,7.967
2.3811,8.000
2.3827,8.233
2.3842,8.567
2.3858,8.567
2.3874,8.367
2.3889,8.167
2.3905,7.733
2.3920,7.533
2.3936,7.867
2.3952,8.000
2.3967,7.933
2.3983,8.333
2.3999,8.767
2.4014,9.767
2.4030,9.400
2.4045,8.900
2.4061,8.900
2.4077,9.233
2.4092,9.633
2.4108,9.800
2.4124,10.100
2.4139,10.133
2.4155,9.567
2.4170,9.100
